h_geoid,wm_overall,wm_1_2,wm_3,obs_overall,obs_1_2,obs_3
24017850712,21.356,21.649,21.248,1457.617,394.283,1063.333
24017850713,20.213,21.497,19.774,1690.7,430.367,1260.333
24017850801,23.027,24.985,22.093,1084.6,350.15,734.45
24017850802,24.308,25.315,23.758,997.483,352.25,645.233
24017850901,23.367,24.28,22.804,1103.317,420.55,682.767
24017850902,23.997,24.3,23.848,1104.583,364.033,740.55
24017850904,26.014,27.174,25.576,1466,401.567,1064.433
24017850905,24.254,24.938,23.931,1120.167,358.55,761.617
24017850906,24.328,24.791,24.052,1037.233,387.35,649.883
24017851001,26.37,26.921,26.045,691.9,256.533,435.367
24017851002,26.716,27.048,26.572,1239.083,373.5,865.583
24017851100,30.453,29.977,30.856,610,279.833,330.167
24017851200,39.127,38.36,39.662,705.283,289.483,415.8
24017851301,33.959,35.151,33.415,762.4,238.8,523.6
24017851302,30.541,31.677,29.974,802.183,267.183,535
24017851400,30.446,32.524,29.721,1324.817,342.817,982
24017851500,22.639,23.845,22.201,1858.7,494.9,1363.8
24017990000,32.755,32.595,32.997,296.917,178.4,118.517
24021740200,41.523,40.531,41.958,379.9,115.867,264.033
24021750100,34.688,34.821,34.603,230.517,89.917,140.6
24021750200,35.548,34.596,36.067,229.217,80.933,148.283
24021750300,35.72,33.986,36.865,252.967,100.6,152.367
24021750503,38.974,38.037,39.475,518.517,180.8,337.717
24021750504,38.543,37.748,38.937,443.033,147.067,295.967
24021750505,38.175,37.784,38.396,521.183,188.517,332.667
24021750506,37.248,36.3,37.709,380.4,124.3,256.1
24021750600,37.592,36.088,38.231,294.75,87.817,206.933
24021750701,39.643,38.78,40.006,452,133.95,318.05
24021750702,38.141,36.181,39.062,352.083,112.6,239.483
24021750801,37.843,36.536,38.496,336.133,111.967,224.167
24021750802,39.371,37.33,40.228,364.083,107.7,256.383
24021750803,38.524,38.05,38.743,489.467,154.717,334.75
24021751001,33.301,30.859,34.714,184.433,67.583,116.85
24021751002,36.641,36.555,36.676,473.567,139.633,333.933
24021751003,35.967,33.832,37.038,460.867,153.883,306.983
24021751004,35.798,33.709,36.607,396.183,110.533,285.65
24021751201,39.885,39.324,40.125,417.833,125.267,292.567
24021751202,40.494,40.383,40.542,507.6,153.117,354.483
24021751203,38.292,34.151,40.349,259.283,86.067,173.217
24021751301,42.483,39.724,43.956,333.4,116,217.4
24021751302,44.739,42.023,46.214,311.25,109.55,201.7
24021751600,44.364,43.325,44.878,298.383,98.733,199.65
24021751701,39.125,38.887,39.244,265.917,88.85,177.067
24021751702,41.948,42.399,41.746,348.5,107.783,240.717
24021751801,37.069,37.335,36.93,366.5,126.017,240.483
